Series ID,Year,Period,Value
PRS85006092,2014,Q01,-3.3
PRS85006092,2014,Q02,2.7
PRS85006092,2014,Q03,3.4
PRS85006092,2014,Q04,-1.4
PRS85006092,2015,Q01,2.3
PRS85006092,2015,Q02,2.0
PRS85006092,2015,Q03,1.1
PRS85006092,2015,Q04,-2.4
PRS85006092,2016,Q01,1.7
PRS85006092,2016,Q02,0.2
PRS85006092,2016,Q03,1.4
PRS85006092,2016,Q04,2.7
PRS85006092,2017,Q01,0.7
PRS85006092,2017,Q02,0.2
PRS85006092,2017,Q03,3.2
PRS85006092,2017,Q04,3.0
PRS85006092,2018,Q01,1.5
PRS85006092,2018,Q02,0.0
PRS85006092,2018,Q03,1.2
PRS85006092,2018,Q04,-0.7
PRS85006092,2019,Q01,3.4
PRS85006092,2019,Q02,2.4
PRS85006092,2019,Q03,4.6
PRS85006092,2019,Q04,3.8
PRS85006092,2020,Q01,-1.1
PRS85006092,2020,Q02,20.2
PRS85006092,2020,Q03,6.2
PRS85006092,2020,Q04,-3.1
PRS85006092,2021,Q01,3.2
PRS85006092,2021,Q02,0.2
PRS85006092,2021,Q03,-2.5
PRS85006092,2021,Q04,2.8
PRS85006092,2022,Q01,-5.0
PRS85006092,2022,Q02,-3.0
PRS85006092,2022,Q03,-0.2
PRS85006092,2022,Q04,2.9
PRS85006092,2023,Q01,0.3
PRS85006092,2023,Q02,3.7
PRS85006092,2023,Q03,3.8
PRS85006092,2023,Q04,3.1
PRS85006092,2024,Q01,0.7
PRS85006092,2024,Q02,2.1
PRS85006092,2024,Q03,2.3
PRS85006092,2024,Q04,1.2
